time_ms,visual_on,thermal_on,distance_v,heading_angle_v,heading_angle_t,centroid_v_x,centroid_v_y,centroid_t_x,centroid_t_y
1733723016.2275004,True,False,0.32680153829339104,0.90234375,None,655.1169118078155,562.4472644839226,None,None
1733723016.7320955,True,False,0.3108593511793098,-1.684375,None,612.5436071393109,565.8288055935246,None,None
1733723017.2426429,True,False,0.2943896581714527,-3.30859375,None,585.9555754475269,592.871640762182,None,None
1733723017.7934515,True,False,0.2925673435538492,-0.42109375,None,633.3636113734184,585.1902568585133,None,None
1733723018.512889,True,False,0.29240920575920765,0.9625,None,656.8992015480267,590.7727198489888,None,None
1733723019.0284557,True,False,0.2718942702501007,-3.06796875,None,589.0312843878685,575.0097327887881,None,None
1733723019.532008,True,False,0.2534412284451134,-4.1507812500000005,None,571.1400564710193,588.2742119477138,None,None
1733723020.044597,True,False,0.2533883811092461,-1.2632812500000001,None,619.6222468674184,596.9488161303126,None,None
1733723020.5517356,True,False,0.25360564022323784,0.1203125,None,642.904318206314,602.4945443740847,None,None
1733723021.059311,True,False,0.2535507484781318,0.42109375,None,647.2162795189435,588.6976845105008,None,None
1733723021.5724285,True,False,0.23922614237019896,-3.30859375,None,585.3228687889933,607.3888754865811,None,None
1733723022.0847259,True,False,0.21936255694117401,-6.496875,None,532.3005744271375,586.9828176551547,None,None
1733723022.5888286,True,False,0.2188509670459108,-3.0078125,None,590.1810564534227,594.4586170594906,None,None
1733723023.1438086,True,False,0.21936793255745424,-0.9625,None,624.390325933034,596.8970774960056,None,None
1733723023.8618026,True,False,0.21864853189240832,0.42109375,None,647.3567768489129,599.7181972648483,None,None
1733723024.3744407,True,False,0.19620893775348164,-3.54921875,None,581.1154525629748,643.9833038837902,None,None
1733723024.8772514,True,False,None,None,None,581.1154525629748,643.9833038837902,None,None
1733723025.3944643,True,False,None,None,None,581.1154525629748,643.9833038837902,None,None
1733723025.896841,True,False,None,None,None,581.1154525629748,643.9833038837902,None,None
1733723026.4042313,True,False,None,None,None,581.1154525629748,643.9833038837902,None,None
1733723026.9138663,True,False,None,None,None,581.1154525629748,643.9833038837902,None,None
1733723027.4218981,True,False,0.1738625294437275,-1.38359375,None,617.318836202367,641.825362913394,None,None
1733723027.9350638,True,False,0.17637967703225596,-1.98515625,None,607.9662068766276,595.2563852547431,None,None
1733723028.464171,True,False,0.17816724091655287,0.0,None,640.600490583291,585.7894490953585,None,None
1733723028.9541702,True,False,0.18094131147450884,-0.1203125,None,638.3257939306884,589.8564857890665,None,None
1733723029.4651747,True,False,0.164747455709462,-3.7296875000000003,None,578.2830055587323,585.0056485237695,None,None
1733723029.9746788,True,False,0.14639826657907135,-3.06796875,None,589.2134821748239,563.9892490573409,None,None
1733723030.488539,True,False,0.14597454820196037,0.1203125,None,642.6007421299291,543.1915711450897,None,None
1733723030.9865465,True,False,0.143845213414397,2.2859375,None,678.3713106232373,545.4166890509723,None,None
